mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_auroc,split1_test_auroc,split2_test_auroc,split3_test_auroc,split4_test_auroc,mean_test_auroc,std_test_auroc,rank_test_auroc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc
40.43767857551575,6.325638954061851,0.0725172996520996,0.0068926187329023635,0.001,32,"{'alpha': 0.001, 'batch_size': 32}",0.8977238239757208,0.8995447647951441,0.9003034901365705,0.9003034901365705,0.9,0.8995751138088013,0.0009664147695350722,5,0.7728537158023683,0.7858381937470341,0.7847105731701486,0.7724067600675399,0.800384427693032,0.7832387340960246,0.010276950675887735,10,0.6955993637326724,0.6979755226177254,0.7051785159677051,0.6944761874317977,0.7183820892128921,0.7023223357925585,0.008851312075718482,6
21.922774219512938,3.572084877354831,0.07262730598449707,0.004583738725408961,0.001,64,"{'alpha': 0.001, 'batch_size': 64}",0.8983308042488619,0.8959028831562974,0.9012139605462822,0.9001517450682853,0.8977238239757208,0.8986646433990895,0.0018619558907651587,11,0.7869958182968595,0.7874462227642097,0.7943249496944882,0.7848180586670785,0.7853582193235772,0.7877886537492427,0.003411757856517279,5,0.7009398535078151,0.6955779469213497,0.712500058455282,0.7008914752450018,0.7064281768903682,0.7032675022039634,0.005751915722849346,3
18.46559429168701,4.3001088112387595,0.07405686378479004,0.0035376824237652324,0.001,128,"{'alpha': 0.001, 'batch_size': 128}",0.8971168437025797,0.8978755690440061,0.9007587253414264,0.8977238239757208,0.898937784522003,0.8984825493171472,0.0012804262889061484,12,0.7809244396499398,0.783840228039391,0.7909727816832757,0.7694921212555961,0.7935079026989167,0.7837474946654238,0.008469524751995606,9,0.693706846133887,0.6997412935216475,0.7108540453722686,0.6890797515631425,0.7138604032689266,0.7014484679719744,0.009574479859904264,9
34.16882762908936,6.093677971174962,0.08184762001037597,0.0171889754089365,0.01,32,"{'alpha': 0.01, 'batch_size': 32}",0.8978755690440061,0.9007587253414264,0.9022761760242792,0.8986342943854325,0.9019726858877086,0.9003034901365705,0.0017644238972684024,2,0.7824080843808283,0.7855549378492417,0.7925237916560905,0.7834489118559147,0.7998530264494979,0.7887577504383146,0.0065734047621399515,4,0.6943152349761346,0.6975099224627295,0.712654832749988,0.6932364160155271,0.7144995018786087,0.7024431816165976,0.009217350730364388,5
28.280195713043213,8.316757519674669,0.06862020492553711,0.00804766576491141,0.01,64,"{'alpha': 0.01, 'batch_size': 64}",0.8969650986342944,0.8974203338391502,0.9031866464339909,0.8981790591805766,0.9013657056145675,0.899423368740516,0.002430575180598,6,0.778048196726739,0.7807170558676275,0.7966091602014428,0.7750696414053908,0.79118709847802,0.784326230535844,0.008198367675507256,8,0.6962943247464448,0.6964636915238853,0.7135885922274449,0.6920828510648273,0.7090225259640144,0.7014903971053232,0.00829298679393699,8
16.198450899124147,3.8033514324124154,0.07656035423278809,0.010308896041823478,0.01,128,"{'alpha': 0.01, 'batch_size': 128}",0.8965098634294385,0.8995447647951441,0.9004552352048558,0.9001517450682853,0.9,0.8993323216995448,0.0014414982806722995,7,0.772225356736892,0.7878379987786889,0.7952535784048647,0.7719853249533731,0.8009378749691414,0.785648026768592,0.011812531898872774,7,0.6946421291011005,0.7012307785552243,0.7104920367954317,0.6938362957124042,0.7137105741704283,0.7027823628669179,0.00809404486705743,4
48.50063757896423,30.816681406066692,0.06386504173278809,0.007765264198628838,0.1,32,"{'alpha': 0.1, 'batch_size': 32}",0.8957511380880121,0.8995447647951441,0.9015174506828528,0.8995447647951441,0.9003034901365705,0.8993323216995448,0.001930445389230878,7,0.7852507596408168,0.7851231565375094,0.8005115160076368,0.7772929243044597,0.7980590305486821,0.789247477407821,0.008722581610782659,3,0.6962540466819056,0.6965762237721357,0.7106393911017067,0.6967116399694235,0.7101354135458846,0.7020633430142112,0.006800059564448385,7
27.45640559196472,7.038955391779724,0.06652069091796875,0.010472685641315692,0.1,64,"{'alpha': 0.1, 'batch_size': 64}",0.8975720789074355,0.9009104704097117,0.9034901365705614,0.9013657056145675,0.9006069802731411,0.9007890743550835,0.001898694060044551,1,0.7895239691508578,0.7879481283038858,0.8002181438277804,0.7772002683573733,0.7957559090830801,0.7901292837445955,0.007819556178898096,2,0.6985058393261993,0.6983463844689564,0.7153390274592956,0.6961758136059175,0.7095315156343907,0.7035797160989519,0.007505399109447915,2
15.961449766159058,2.0177659011209506,0.08488612174987793,0.018576235316730763,0.1,128,"{'alpha': 0.1, 'batch_size': 128}",0.8990895295902883,0.9001517450682853,0.9004552352048558,0.9007587253414264,0.9003034901365705,0.9001517450682852,0.0005677780556561362,3,0.7866251945085142,0.7869976576208713,0.7991412196189657,0.7759449297194294,0.8040367204230083,0.7905491443781578,0.009970275734143007,1,0.6977114619320357,0.6995190925198584,0.7116112640365057,0.6958924806165189,0.7175108769481635,0.7044490352106164,0.008541932878117232,1
64.82721128463746,19.95848707322711,0.05748915672302246,0.010342930985818689,1,32,"{'alpha': 1, 'batch_size': 32}",0.8972685887708649,0.9003034901365705,0.8995447647951441,0.8974203338391502,0.8996965098634294,0.8988467374810318,0.0012535281595182596,10,0.7632331315594894,0.7750751593774257,0.7780402646419388,0.7546004942263619,0.7839968768120518,0.7709891853234534,0.010624109442708583,12,0.6763876324395527,0.6818237118419556,0.6882602248838401,0.678175962768607,0.6987498203061886,0.6846794704480288,0.008124064184530646,12
19.66063232421875,2.1504254074404403,0.06072540283203125,0.00910081805940416,1,64,"{'alpha': 1, 'batch_size': 64}",0.8966616084977238,0.9003034901365705,0.9009104704097117,0.8980273141122913,0.9,0.8991805766312595,0.0015874594028069393,9,0.7714231815523158,0.7743072416025663,0.7872870062794521,0.7653752542865446,0.7897694926541929,0.7776324352750142,0.009384765672529521,11,0.6879154996533916,0.6859368328214994,0.6983447159850233,0.6894127828866172,0.7082991197576316,0.6939817902208326,0.00832367821476731,11
18.829666423797608,3.5077068642738944,0.06222515106201172,0.01539699487926829,1,128,"{'alpha': 1, 'batch_size': 128}",0.8974203338391502,0.9004552352048558,0.9016691957511381,0.9009104704097117,0.8995447647951441,0.9,0.0014618020732980257,4,0.7848978393460836,0.783697680428489,0.7976265362953807,0.7698868861715942,0.7950961356290296,0.7862410155741154,0.00983639626934827,6,0.6955411225495832,0.692492516431146,0.7110508670449793,0.6935274515905869,0.7039828089531088,0.6993189533138808,0.007124648583980112,10
